timestamp,eth_daily_tx
2026-01-13 00:00:00+00:00,2319935.0
2026-01-14 00:00:00+00:00,2595176.0
2026-01-15 00:00:00+00:00,2812123.0
2026-01-16 00:00:00+00:00,2885524.0
2026-01-17 00:00:00+00:00,2398473.0
2026-01-18 00:00:00+00:00,1920802.0
2026-01-19 00:00:00+00:00,2528438.0
2026-01-20 00:00:00+00:00,2288096.0
2026-01-21 00:00:00+00:00,2473536.0
2026-01-22 00:00:00+00:00,2372922.0
2026-01-23 00:00:00+00:00,2531327.0
2026-01-24 00:00:00+00:00,2268230.0
2026-01-25 00:00:00+00:00,2181909.0
2026-01-26 00:00:00+00:00,2362952.0
2026-01-27 00:00:00+00:00,2558259.0
2026-01-28 00:00:00+00:00,2726585.0
2026-01-29 00:00:00+00:00,2625095.0
2026-01-30 00:00:00+00:00,2290086.0
2026-01-31 00:00:00+00:00,2047319.0
2026-02-01 00:00:00+00:00,2538407.0
2026-02-02 00:00:00+00:00,2308687.0
2026-02-03 00:00:00+00:00,2563472.0
2026-02-04 00:00:00+00:00,2489539.0
2026-02-05 00:00:00+00:00,2263196.0
2026-02-06 00:00:00+00:00,2418421.0
2026-02-07 00:00:00+00:00,2896853.0
2026-02-08 00:00:00+00:00,2317029.0
2026-02-09 00:00:00+00:00,2709180.0
2026-02-10 00:00:00+00:00,2843652.0
2026-02-11 00:00:00+00:00,2466399.0
